RPM,MAP,Spark Knock R,Spark Knock F,
3956,45.72,0,0,
3952,45.35,0,0,
3945,45.35,0,0,
3948,45.72,0,0,
3947,44.99,0,0,
3946,45.35,0,0,
3946,45.35,0,0,
3945,45.72,0,0,
3945,45.35,0,0,
3941,45.72,0,0,
3941,45.35,0,0,
3939,45.72,0,0,
3942,45.72,0,0,
3938,45.72,0,0,
3942,44.99,0,0,
3941,45.35,0,0,
3952,47.57,0,0,
3942,47.94,0,0,
3947,50.15,0.75,0.75,
3944,52,1,0.75,
3946,51.63,1,0.75,
3948,51.26,1,0.75,
3953,51.63,1,0.75,
3957,54.21,1,0.75,
3963,57.9,1,0.75,
3974,63.07,1,0.75,
3980,64.91,1,0.75,
3987,66.02,1,0.75,
3991,68.23,1,0.75,
4001,69.34,1,0.75,
4005,69.34,1,0.75,
4016,68.97,1,0.75,
4024,69.34,1,0.75,
4031,69.34,1,0.75,
4040,68.6,1,0.75,
